image,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",13,78,44,95,9,0.23391026258468628,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",43,121,69,173,8,0.12145734578371048,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",150,118,197,170,8,0.19521783292293549,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",73,48,82,69,8,0.22537729144096375,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",83,120,134,176,8,0.32669562101364136,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",0,99,11,129,5,0.13274160027503967,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",80,119,138,185,5,0.16136972606182098,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",150,118,197,170,5,0.1642371267080307,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",17,57,40,80,5,0.2624828517436981,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",206,48,250,78,5,0.34081023931503296,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",209,48,221,75,5,0.3718786835670471,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",109,47,121,70,5,0.46927186846733093,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",72,47,83,70,5,0.5429301857948303,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",199,33,254,46,3,0.18745292723178864,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451409_+37.826715_-122.259894_10_396+38TH+ST+OAKLAND+Done---Level-1_cropped_house_0.jpg
",0,87,264,101,2,0.25920459628105164,193,264
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451585_+37.802504_-122.250977_10_328+HANOVER+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",172,91,288,122,9,0.1553374081850052,199,292
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451585_+37.802504_-122.250977_10_328+HANOVER+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",53,27,63,51,8,0.12280598282814026,199,292
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451585_+37.802504_-122.250977_10_328+HANOVER+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",181,32,195,58,5,0.11850268393754959,199,292
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451585_+37.802504_-122.250977_10_328+HANOVER+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",53,27,63,51,5,0.1508387178182602,199,292
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451585_+37.802504_-122.250977_10_328+HANOVER+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",55,28,84,52,5,0.2663411498069763,199,292
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451585_+37.802504_-122.250977_10_328+HANOVER+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",52,79,88,106,5,0.285655677318573,199,292
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451585_+37.802504_-122.250977_10_328+HANOVER+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",125,28,158,52,5,0.4875751733779907,199,292
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451585_+37.802504_-122.250977_10_328+HANOVER+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",126,81,161,106,5,0.565914511680603,199,292
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451585_+37.802504_-122.250977_10_328+HANOVER+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",12,118,282,132,2,0.3358002305030823,199,292
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451585_+37.802504_-122.250977_10_328+HANOVER+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",22,0,275,191,1,0.3217868506908417,199,292
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451325_+37.809167_-122.254705_10_378+GRAND+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",1,164,18,182,10,0.17074808478355408,212,215
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451325_+37.809167_-122.254705_10_378+GRAND+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",2,83,21,99,5,0.15391412377357483,212,215
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451325_+37.809167_-122.254705_10_378+GRAND+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",42,66,62,99,5,0.15421295166015625,212,215
"/home/ubuntu/logohunter/data/test/cropped_one/view_vulnerable_1560451325_+37.809167_-122.254705_10_378+GRAND+AV+OAKLAND+Done---Level-1_cropped_house_0.jpg
",111,126,122,148,5,0.1545909345149994,212,215
